Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arab World,8.245001622,8.79772704,9.207615679,9.454900334,9.660603684,10.11064747,10.28059321,9.941566734,9.81901219,9.572088722,9.327797553,8.634503127,7.717912422,7.557079633,7.629208847
East Asia & Pacific,17.15615912,19.3227109,21.76343536,23.96710131,23.96583721,23.85634376,23.14383393,23.16968246,22.29289694,21.45447889,20.90461279,19.81749584,18.48585737,16.8383999,15.60071151
East Asia & Pacific (excluding high income),12.97233028,15.48428194,18.37869981,20.81755123,21.17823342,21.29965057,20.62494706,19.46762825,18.46538715,17.54561991,17.00636078,15.8011659,14.59132031,12.84657993,11.54885632
Euro area,52.55484433,52.01988828,51.58818066,51.42896466,51.68490781,49.79371525,48.65078843,51.41513668,50.82647657,49.81602063,48.74657486,47.68362215,46.75602451,46.10269276,45.99064789
Europe & Central Asia,38.2851859,38.23695432,38.43524804,38.24760273,38.95700131,37.91500272,37.42993898,38.12692884,37.56359934,36.83969732,35.69404102,35.09895559,34.27936168,33.1225207,32.27426231
Europe & Central Asia (excluding high income),22.04520711,22.39897968,23.63259674,23.88437294,25.43696159,25.63563193,25.73853415,25.53955658,25.40005258,25.11029727,24.04266399,23.32474875,22.17631689,20.64827903,19.39549452
European Union,49.45502657,49.12904553,48.80754961,48.28193978,48.10101634,46.38144049,45.55463705,46.94311954,46.11875214,45.16166114,44.07209581,43.69003793,43.17288382,42.39177158,41.96489424
Heavily indebted poor countries (HIPC),0.874009885,0.933594683,1.020638302,0.978305091,1.058773447,1.088093495,1.09291004,1.082356422,1.104067464,1.089397664,1.055937605,0.990165391,1.011312709,0.923639646,0.920128877
High income,52.66682233,51.6816933,50.65514002,49.70462608,48.38913141,46.23855073,45.8384825,47.40142526,46.56915092,45.42919096,44.2355206,43.42263015,42.07815835,41.14995956,40.36224961
Latin America & Caribbean,16.39985835,16.79774015,17.2224749,17.63782952,17.55233,17.79581472,18.32262252,18.0793684,17.9011815,17.89323722,18.0448287,17.71774645,17.38118659,17.4053123,17.10565254
Latin America & Caribbean (excluding high income),15.60731755,15.96579855,16.42892409,16.77932315,16.72797228,17.02725797,17.60508612,17.34979258,17.1733908,17.27136838,17.54797038,17.14514745,16.71800365,16.7184452,16.45083227
Least developed countries: UN classification,0.660705726,0.759757533,0.843914768,0.865014562,0.918733575,0.929429952,0.962936017,0.948412855,0.993061713,0.945129288,0.96219139,0.932145046,0.935629185,0.853098225,0.881328305
Low & middle income,9.484716001,10.49893016,11.81372373,12.7319042,12.92082589,12.9758738,12.73246411,12.17524787,11.66916958,11.21937128,10.88210151,10.23964112,9.553737686,8.781271291,8.174699742
Low income,1.259926791,1.385805505,1.535119479,1.627135592,1.722436356,1.862433964,1.866624194,1.835179635,1.805309159,1.807617456,1.746672185,1.688733955,1.554157822,1.492950621,1.480340054
Lower middle income,3.873051371,3.974533324,4.54717751,4.584031092,4.499274945,4.770447371,5.2907791,5.485794752,5.415399484,4.94639117,4.721516273,4.114948891,3.711291853,2.978833578,2.815604288
Middle East & North Africa,12.08275071,13.11771465,13.67126075,15.09830877,15.85702132,16.53487312,16.84092793,16.6813377,16.41552967,16.58530997,16.51176709,15.91971234,14.87166641,14.90938545,14.89882326
Middle East & North Africa (excluding high income),10.63967647,11.86010782,12.48405358,14.10715679,14.98628723,15.7955035,16.1179451,16.00001572,15.82955989,15.84568283,15.71030907,15.08145927,14.29588957,14.31669321,14.43402254
Middle income,10.33851758,11.45312505,12.85274833,13.89124354,14.06173307,14.14985981,13.89843105,13.36782234,12.84292309,12.35599753,12.00082582,11.30132197,10.5613297,9.712445695,9.042563443
North America,65.83041131,63.28456147,61.10159774,59.04478727,56.19735343,52.97224213,53.75515329,50.4922924,49.02786232,46.75858744,44.9010368,42.81712526,41.0112114,39.46505762,38.12943247
OECD members,50.0900023,49.12267297,48.24017325,47.33881366,46.09267768,43.97108882,43.54306782,44.7785716,43.94380202,42.69563734,41.55882545,40.49299875,39.41392974,38.47499532,37.75164232
South Asia,3.267566792,3.294175483,3.620722712,3.916931925,3.289324525,3.177497346,3.081892178,3.032330702,2.878411254,2.663788845,2.516103986,2.363796591,2.123918776,1.961652602,1.798937722
Sub-Saharan Africa,1.451340189,1.498801234,1.519229648,1.479117208,1.54076619,1.534515176,1.494640029,1.562360723,1.461192951,1.372006196,1.282162446,1.109782822,1.087005824,1.057163827,1.083169121
Sub-Saharan Africa (excluding high income),1.448478283,1.49601924,1.516515897,1.476454764,1.538262937,1.531832797,1.492074574,1.559440095,1.458833003,1.369051102,1.280030209,1.107607552,1.084942911,1.055140469,1.081251105
Upper middle income,16.94218677,19.16423334,21.45897449,23.3003727,24.15474657,24.13145434,23.13203694,21.88834582,20.93126108,20.47824752,20.03465914,19.2864124,18.21766958,17.29120598,16.10118171
World,17.24628877,17.86133105,18.73564313,19.37321406,19.19054327,18.82017853,18.52340235,18.27978868,17.67694489,17.07413495,16.55643341,15.84719857,15.01766131,14.18417876,13.5112067
Afghanistan,0.150364494,0.159116571,..,..,..,..,..,0.018318595,0.057701988,0.045471683,0.293244041,0.301808716,0.311163495,0.326056406,0.329501081
Albania,7.05347722,8.196708138,8.863118905,9.059979949,8.381540835,9.920940029,11.48499608,12.25260621,11.32675288,11.57784354,10.6847888,9.633508714,8.070940076,7.75541228,8.496597124
Algeria,6.094693535,6.417402755,7.574282625,7.72640662,8.411700367,8.945779012,8.804007606,7.263808812,8.092254208,8.308997082,8.756259376,8.171482801,7.922588915,8.19530167,8.384732896
American Samoa,23.92773833,18.12169088,17.47097732,17.59193477,17.73231032,17.96107283,18.23601613,18.49645188,18.69259665,..,18.10610176,18.08089392,17.85810921,18.00601401,..
Andorra,49.85367386,48.05963215,45.95771471,44.94148376,45.07537875,44.93426702,44.56779671,44.85093888,45.20006158,45.85139282,46.48736519,47.74471456,48.26502405,49.79875407,50.06922788
Angola,0.456391065,0.467182751,0.499742496,0.494871715,0.484468794,0.449068509,0.525271354,1.34450151,1.202963003,0.65852374,0.8301871,0.826783556,1.06764868,1.022728313,1.056773356
Antigua and Barbuda,44.1031229,43.53155465,43.05607487,40.87257571,41.52777932,41.47470481,41.09085404,39.91194794,38.37060669,37.07100994,34.26330636,33.87001145,20.14159292,20.01541187,22.28935353
Argentina,20.3449358,22.45891013,22.62034849,24.1194413,23.91319372,23.76769267,24.12644036,23.94185533,24.04966693,23.33954255,22.46168997,22.71297845,22.85276589,23.20046875,22.66639117
Armenia,17.89269708,18.67843725,19.29516379,19.93801947,20.41237113,21.2986046,21.54582528,20.76796105,20.58519222,20.41128384,20.253324,19.99129776,19.70848731,18.90214093,18.17632289
Aruba,39.08960755,38.53963738,38.48911755,38.24714339,38.33207712,38.1436475,37.94756939,36.17438617,34.46478278,..,35.09558673,33.91900142,33.72031408,33.54386099,..
Australia,53.40127345,53.10460918,51.98404346,50.00271013,48.31433051,46.59453171,43.90302482,49.26160493,48.03331491,47.03333869,45.88147087,44.70701549,39.14858349,35.71495199,33.90554396
Austria,47.73547246,47.42013432,46.5022597,45.30116979,43.51376357,40.99000178,39.3957968,38.86481758,40.40452564,40.04792512,39.68278195,38.86785652,40.75999453,41.59514542,40.94517797
Azerbaijan,11.18760809,11.25852867,11.99448637,12.81473814,13.6378842,14.36561587,14.8550631,15.69964256,16.67968084,18.41030204,18.60787312,18.72988941,18.89195352,18.67460346,17.48243975
"Bahamas, The",40.93583519,41.76014898,43.38750984,40.41743483,39.17577346,38.80897852,38.07431541,36.34262912,35.83773058,36.28112656,36.28651835,36.05132011,32.88021791,31.25985555,30.9504335
Bahrain,23.86539853,23.85429254,23.08290193,21.76416605,20.26222488,19.64888198,19.77283127,20.08389668,18.37432366,21.63261411,23.02815607,22.16029819,21.30235252,20.41870314,19.63722248
Bangladesh,0.443578361,0.533774516,0.588043851,0.746002779,0.780089132,0.806664079,0.903496956,0.820775246,0.841793992,0.635233467,0.617483592,0.686894158,0.611134717,0.536140353,0.470190651
Barbados,48.99107847,49.21802114,49.70211395,49.2239306,48.81525893,48.61886656,48.68040055,48.73056344,49.17784161,50.13096888,50.91109257,52.64788024,47.91185137,52.61191273,49.02349507
Belarus,30.25515513,31.5331106,32.81924318,34.13456657,35.17425457,38.50165002,39.10765282,41.98901166,43.68805005,44.44186513,46.52835332,47.14259099,47.59500176,47.86828104,47.63040079
Belgium,47.57988149,46.78937544,45.81055727,45.45970251,44.51970594,45.31069137,43.92282228,42.68835363,42.41604083,42.07951579,41.81676448,41.12895184,40.39941133,39.76554624,38.48308812
Belize,11.93717916,12.36502805,12.2120041,11.92119374,11.80579679,11.36199888,10.16576029,9.928359597,9.417676177,8.762059831,7.54824013,6.987892998,6.454474629,6.569381666,6.267815585
Benin,0.859021459,0.884389516,0.939212418,0.955460414,0.941255676,1.310085607,1.325630833,1.421500047,1.450410299,1.61418662,1.610776264,1.593720635,1.902084942,1.840647537,1.148634815
Bermuda,86.67388949,83.2434099,82.76339046,80.56348841,88.6125755,88.76286753,89.12959381,89.73142777,90.37463256,..,109.2135045,114.7026493,46.86287711,19.35390223,33.0019784
Bhutan,3.234668923,3.794627819,4.729947117,5.025592449,4.689777873,4.346262799,3.919680434,3.687830495,3.613320305,3.712306383,3.586478557,3.462268011,3.068202893,2.770051792,2.642507505
